ParentName,Hospital Name,Address,Location,Postcode,CEO/EO Site,Hospital Email,Telephone,Fax,RegistrarTypeCode
"Alfred Health","Alfred Health","c/- The Alfred, 55 Commercial Road Melbourne VIC 3004","Melbourne","3004","Andrew Way","ceo@alfred.org.au","03 9076 2000","03 9076 3409","AU"
"Alfred Health","Caulfield Hospital","260 Kooyong Road Caulfield VIC 3162","Caulfield","3162","Andrew Way","publicaffairs@alfred.org.au","03 9076 6000","03 9076 6434","AG"
"Alfred Health","Sandringham Hospital","193 Bluff Road Sandringham VIC 3191","Sandringham","3191","Andrew Way","publicaffairs@alfred.org.au","03 9076 1000","03 9598 1539","AG"
"Alfred Health","The Alfred","55 Commercial Road Melbourne VIC 3004","Melbourne","3004","Andrew Way","publicaffairs@alfred.org.au","03 9076 2000","03 9076 2222","AG"
"Austin Health","Austin Health","145 Studley Road Heidelberg VIC 3084","Heidelberg","3084","Sue Shilbury","marie.ellis@austin.org.au","03 9496 5000","03 9458 4779","AU"
"Austin Health","Austin Health - Austin Hospital","145 Studley Road Heidelberg VIC 3084","Heidelberg","3084","Sue Shilbury","marie.ellis@austin.org.au","03 9496 5000","03 9458 4779","AG"
"Austin Health","Austin Health - Heidelberg Repatriation Hospital","300 Waterdale Road Heidelberg Heights VIC 3081","Heidelberg Heights","3081","Sue Shilbury","marie.ellis@austin.org.au","03 9496 5000","03 9496 2541","AG"
"Austin Health","Royal Talbot Rehabilitation Centre","1 Yarra Boulevard Kew VIC 3101","Kew","3101","Sue Shilbury","marie.ellis@austin.org.au","03 9490 7500","03 9490 7501","AG"
"Calvary Health Care Bethlehem Ltd.","Calvary Health Care Bethlehem Ltd.","476 Kooyong Road Caulfield VIC 3162","Caulfield","3162","Jane Fischer","jane.fischer@calvarycare.org.au","03 9596 2853","03 9596 8998","AU"
"Dental Health Services Victoria","Dental Health Services Victoria","720 Swanston Street Carlton VIC 3053","Carlton","3053","Deborah Cole","dhsv@dhsv.org.au","03 9341 1000","03 9341 1111","AU"
"Eastern Health","Eastern Health","Level 4, 5 Arnold Street Box Hill VIC 3128","Box Hill","3128","David Plunkett","johnferraro@easternhealth.org.au","03 9895 4888","03 9895 4844","AU"
"Eastern Health","Angliss Hospital","Albert Street Upper Ferntree Gully VIC 3156","Upper Ferntree Gully","3156","David Plunkett","johnferraro@easternhealth.org.au","03 9764 6111","03 9764 6399","AG"
"Eastern Health","Box Hill Hospital","51 Nelson Road Box Hill VIC 3128","Box Hill","3128","David Plunkett","johnferraro@easternhealth.org.au","03 9895 3333","03 9895 3268","AG"
"Eastern Health","Healesville and District Hospital","377 Maroondah Highway Healesville VIC 3777","Healesville","3777","David Plunkett","healesville.hospital@easternhealth.org.au","03 5962 4300","03 5962 2226","AG"
"Eastern Health","Maroondah Hospital","1-15 Mt Dandenong Rd Davey Drive East Ringwood VIC 3135","East Ringwood","3135","David Plunkett","maroondah.hospital@maroondah.org.au","03 9871 3333","03 9879 1570","AG"
"Eastern Health","Peter James Centre, The","321-345 Burwood Hwy Forest Hill VIC 3131","Forest Hill","3131","David Plunkett","johnferraro@easternhealth.org.au","03 9881 1888","03 9881 1801","AG"
"Eastern Health","Wantirna Health","251 Mountain Highway Wantirna VIC 3152","Wantirna","3152","David Plunkett","n/a","03 9955 1200","03 9955 1384","AG"
