Hospital Name,Address,Location,Postcode,CEO/EO Site,Hospital Email,Telephone,Fax
"Albury Wodonga Health","69 Vermont Street Wodonga VIC 3690","Wodonga","3690","Janet Chapman","ceo@awh.org.au","02 6058 4780","02 6058 4680"
"Alexandra District Health","20 Cooper Street Alexandra VIC 3714","Alexandra","3714","Debbie Rogers","alexandra@humehealth.org.au","03 5772 0900","03 5772 0919"
"Alpine Health","30 O'Donnell Avenue Myrtleford VIC 3737","Myrtleford","3737","Lyndon Seys","lyndon.seys@alpinehealth.org.au","03 5751 9300","03 5751 9396"
"Bairnsdale Regional Health Service","122 Day St Bairnsdale VIC 3875","Bairnsdale","3875","Robyn Hayles","email@brhs.com.au","03 5150 3333","03 5150 3367"
"Ballarat Health Services","Drummond Street North Ballarat VIC 3353","Ballarat","3353","Dale Fraser","info@bhs.org.au","03 5320 4000","03 5320 4828"
"Barwon Health","272-322 Ryrie Street Geelong VIC 3220","Geelong","3220","Frances Diver","postmaster@barwonhealth.org.au","03 4215 0000","03 5226 7672"
"Bass Coast Health","235 Graham Street Wonthaggi VIC 3995","Wonthaggi","3995","Jan Child","n/a","03 5671 3333","03 5671 3300"
"Beaufort and Skipton Health Service","28 Havelock Street Beaufort VIC 3373","Beaufort","3373","Meryn Pease","ceo@bshs.org.au","03 5349 1600","03 5349 2744"
"Beechworth Health Service","52 Sydney Road Beechworth VIC 3747","Beechworth","3747","Mark Ashcroft","beechworth.health.service@hume.org.au","03 5728 0200","03 5728 2288"
"Benalla Health","45-63 Coster Street Benalla VIC 3672","Benalla","3672","Janine Holland","executive@benallahealth.org.au","03 5761 4222","03 5761 4246"
"Bendigo Health","62 Lucan St Bendigo VIC 3550","Bendigo","3550","Peter Faulkner","n/a","03 5454 6000","03 5441 0375"
"Boort District Health","31 Kiniry Street Boort VIC 3537","Boort","3537","Darren Clarke","admin@bdh.vic.gov.au","03 5451 5200","03 5455 2502"
"Casterton Memorial Hospital","63-69 Russell Street Casterton VIC 3311","Casterton","3311","Owen Stephens","mail@cmh.org.au","03 5554 2555","03 5581 1051"
"Castlemaine Health","142 Cornish Street Castlemaine VIC 3450","Castlemaine","3450","Ian Fisher","ceo@castlemainehealth.org.au","03 5471 1555","03 5472 4546"
"Central Gippsland Health Service","155 Guthridge Parade Sale VIC 3850","Sale","3850","Frank Evans","enquiries@cghs.com.au","03 5144 4111","03 5149 6633"
"Central Highlands Rural Health","13 Hospital Street Daylesford VIC 3460","Daylesford","3460","Maree Cuddihy","info@hhs.vic.gov.au","03 5321 6500","03 5321 6546"
"Cohuna District Hospital","144-158 King George Street Cohuna VIC 3568","Cohuna","3568","Benjamin Maw","info@cdh.vic.gov.au","03 5456 5300","03 5456 2435"
"Colac Area Health","2-28 Conner St Colac VIC 3250","Colac","3250","Fiona Brew","cah@swarh.vic.gov.au","03 5232 5100","03 5230 0199"
"Corryong Health","20 Kiell Street Corryong VIC 3707","Corryong","3707","Dominic Sandilands","dominic.sandilands@corryonghealth.org.au","02 6076 3200","02 6076 1739"
"Djerriwarrh Health Services","Lot 4 Grant Street Bacchus Marsh VIC 3340","Bacchus Marsh","3340","Belinda Scott","info@djhs.org.au","03 5367 2000","03 5367 4537"
"East Grampians Health Service","Lot 5B Girdlestone Street Ararat VIC 3377","Ararat","3377","Andrew Freeman","info@eghs.net.au","03 5352 9300","03 5352 4612"
"East Wimmera Health Service","52 North Western Road St Arnaud VIC 3478","St Arnaud","3478","Trevor Adem","info@ewhs.org.au","03 5477 2100","03 5477 2131"
"Echuca Regional Health","9-27 Frances Street Echuca VIC 3564","Echuca","3564","Nick Bush","erhexec@erh.org.au","03 5485 5000","03 5482 5478"
